,entname,is_bra,pledgenum,taxunpaidnum,priclasecam,is_bp,labels,tag
439,c106c5b22f8614375461b5cf8076ed00,0,0,0,0,0.230769231,0,1
440,e6a3ee9373fbc1a99f80cfd617531e74,0,0,0,0,0.230769231,0,1
441,fd694be69ab86d370ec3b9b2b22333c3,0,0,0,0,0.230769231,0,1
2,0a1199465e795775fd2c04688a550bf1,0,0,0,0.062,0.153846154,0,1
17,7dadaae30636e6ace9896d0dcd34e0f1,0,0,0,0.012,0.153846154,0,1
442,00c9da03cc40c7da37047698c34fb2f2,0,0,0,0,0.153846154,0,0
443,01c488f2287142f2233881ba329d1458,0,0,0,0,0.153846154,0,0
444,023a3ade0586ea023246d517b39a0fd7,0,0,0,0,0.153846154,0,0
445,0638698dd3bc6197911d8da434017691,0,0,0,0,0.153846154,0,0
446,090146e0eee4c0ac1702dcaffa4e5de1,0,0,0,0,0.153846154,0,0
447,095e0492d173e60c2229b661a2a6e603,0,0,0,0,0.153846154,0,0
53,77648c9618325a84d0f7c7874b94eb28,0,0,1,0,0,-1,2
448,09feebaacd943eb523e70d62b8dcd9a8,0,0,0,0,0.153846154,0,0
449,0a3a3b17a3f3b2cebeb27abf57aca497,0,0,0,0,0.153846154,0,0
450,0cfe59e170c219901bbc7a55705553a7,0,0,0,0,0.153846154,0,0
451,0d3e1e071560a2d09758b70bf4bc5210,0,0,0,0,0.153846154,0,0
452,0f59683f5ad10d4ccfbd63347e4d374c,0,0,0,0,0.153846154,0,0
453,10b5e8df031ac861f11721a3e6af44d9,0,0,0,0,0.153846154,0,0
454,17904b620ecedc239e605002a50af3ec,0,0,0,0,0.153846154,0,0
455,179ca1cc318fa2e3c8195a6b17703deb,0,0,0,0,0.153846154,0,0
62,5dbc84a261d282e0b07b296c0d218cb4,0.25,0,0.063551071,0,0,1,1
456,1815d3cfb392b95ac2da4fd273b6569b,0,0,0,0,0.153846154,0,0
457,1a19da1b846c2708aa42749cc34d0192,0,0,0,0,0.153846154,0,0
458,1c7191c85c55963366655d801febcac8,0,0,0,0,0.153846154,0,0
459,1e0140395c73baef95ff58e10aada240,0,0,0,0,0.153846154,0,0
460,1f0e80cdc70b9494a50fb2e27f755e80,0,0,0,0,0.153846154,0,0
461,1f8f06b934ef1bd2fd1c343fb7d30cd9,0,0,0,0,0.153846154,0,0
462,212b97bf683d03eea765dd5dc3083508,0,0,0,0,0.153846154,0,0
463,243cf61558c56b00c306252e8b0df750,0,0,0,0,0.153846154,0,0
464,261857d96ae3793090b8c698b01097c4,0,0,0,0,0.153846154,0,0
465,26f31362e93bed66d4ff00ecf6870c11,0,0,0,0,0.153846154,0,0
466,27f10e8c647f5580d5080e69acdda998,0,0,0,0,0.153846154,0,0
467,297a7aadf9a1a9cad812f461623db033,0,0,0,0,0.153846154,0,0
468,29f414ef3c2c9d34000a2c37f78cc87b,0,0,0,0,0.153846154,0,0
469,2b9fe0ad7693b45c954f43533f4258ea,0,0,0,0,0.153846154,0,0
470,2bdc6fa8a83d57ac925a606fe77bc35f,0,0,0,0,0.153846154,0,0
471,2cffb4162b3dffb531b33ec94027d5c0,0,0,0,0,0.153846154,0,0
473,2fb73a8b24c08f4c69394d739d03e565,0,0,0,0,0.153846154,0,0
474,2fd8c72f13733e16a47307a03b6cc14c,0,0,0,0,0.153846154,0,0
475,32aa62eca00319774307f39238cf9ae3,0,0,0,0,0.153846154,0,0
477,337ec2d7b530bdd7b75b006e55ed743c,0,0,0,0,0.153846154,0,0
478,34234862a8a5a3fddcfa6c13068d7017,0,0,0,0,0.153846154,0,0
479,3449aa8b814d5a96462ebca8413c4240,0,0,0,0,0.153846154,0,0
480,3789f30e6c63106c4a78e9db19480f2d,0,0,0,0,0.153846154,0,0
481,396f71be81dbd91115bbf66acffd20f3,0,0,0,0,0.153846154,0,0
482,3a020839667c60ad6e718b6a5634ce8b,0,0,0,0,0.153846154,0,0
483,3cab3fefe591b5567e2192992f4fed24,0,0,0,0,0.153846154,0,0
484,3caf146ccb3214f2f584aa73e4cb0ee3,0,0,0,0,0.153846154,0,0
90,36bdb6b3350f44681a5db49335de0a2e,0.5,0,0.03036682,0,0,2,1
485,3e2082295215f36a7dfd82061b5e602c,0,0,0,0,0.153846154,0,0
487,41e8c7c539b42a8ff4d0abad112a2eff,0,0,0,0,0.153846154,0,0
488,43ebaea3df8125967dbbbac186bf851d,0,0,0,0,0.153846154,0,0
489,45ea52e13df20cdc2f8d8870b1bc27aa,0,0,0,0,0.153846154,0,0
491,46e6c6a182d4315ffe344240b4a9a31c,0,0,0,0,0.153846154,0,0
492,4706a33554af4426ec29c548f41ecbe9,0,0,0,0,0.153846154,0,0
97,10e50b4bb7730993517c19fd52dc6750,0.5,0,0.027259675,0,0,2,1
493,47fe24490a7a78641aea1f333143ed30,0,0,0,0,0.153846154,0,0
494,4a8fb5e400b579146d0dc5dd832b9311,0,0,0,0,0.153846154,0,0
100,60c4f052e3bf14bf08fe745586f39f64,0.5,0,0.024036624,0,0,2,1
101,be02db35eef2f55af1555ad9b1ca1b93,0.25,0,0.023889443,0,0,1,1
495,4ac30fca21cb0dcdd913e960ab94e1f9,0,0,0,0,0.153846154,0,0
496,4b0e503c78f734fb9d2613c9e2f7467b,0,0,0,0,0.153846154,0,0
497,4be156ad0844592b1ed7696e6419816c,0,0,0,0,0.153846154,0,0
499,4d7e371807f5ace0ffc24a4a59b140e9,0,0,0,0,0.153846154,0,0
500,4f2b400d2f7e16c071ad87b9aca18110,0,0,0,0,0.153846154,0,0
501,4fe6578fac4ccc304fcaecf4b15f5bb9,0,0,0,0,0.153846154,0,0
108,ddd58fb407c574d1403350583cf39fb1,0.25,0,0.021294695,0,0,1,1
502,514237cf9e94412b71bd042223fdbc1f,0,0,0,0,0.153846154,0,0
503,519fdb17e67d9d64e12fa26fbf5dc776,0,0,0,0,0.153846154,0,0
504,57f343eb3d7383927bfde83eb8505f07,0,0,0,0,0.153846154,0,0
505,58008d5454d6991cea49f44a0c7db4bb,0,0,0,0,0.153846154,0,0
506,58be358984e20ccccd2f6e0c8cdb73c9,0,0,0,0,0.153846154,0,0
507,5a94087c2281a44b2efc5fcf62871d00,0,0,0,0,0.153846154,0,0
508,5af19e83d62d1570aaf681bffa633c74,0,0,0,0,0.153846154,0,0
509,5b3c92fae139ed7e5a07c56c41913141,0,0,0,0,0.153846154,0,0
510,5cb53e1015537d2d500cadd2259a4f7e,0,0,0,0,0.153846154,0,0
511,5db7a96015c25556dbc8b40c096c689f,0,0,0,0,0.153846154,0,0
512,5e0c92b763d381ad19e165a6d85ab047,0,0,0,0,0.153846154,0,0
513,5edf2989de372786058734e4a55c8855,0,0,0,0,0.153846154,0,0
515,6059fe1fa57a359086e5ca63ffa7bea5,0,0,0,0,0.153846154,0,0
516,61a9efafb28fc0a4af13146a59b42644,0,0,0,0,0.153846154,0,0
517,61d431f350b412e84d8540e4c1c1abe0,0,0,0,0,0.153846154,0,0
518,6251bc46c68e59b68fe9de417b467cb2,0,0,0,0,0.153846154,0,0
519,644ca3aab1f6b7d272174406ee905206,0,0,0,0,0.153846154,0,0
520,6590ee5a247ec8d0781dda37153aeed1,0,0,0,0,0.153846154,0,0
521,66ba3929084c8b867305b5121b371b22,0,0,0,0,0.153846154,0,0
522,689fe07accaaa4bb3252d035d39a43f9,0,0,0,0,0.153846154,0,0
523,69a148e773b31d0d10f4a859138bb627,0,0,0,0,0.153846154,0,0
524,6c3b2297cb3dfb172d239bed45cc2c42,0,0,0,0,0.153846154,0,0
525,6d64172da8b4ea119c933adc4d0440b6,0,0,0,0,0.153846154,0,0
526,6ed19c9ba03c7465cd25c5129b4a67df,0,0,0,0,0.153846154,0,0
527,6ef4623e8fba15415634fa02f7395562,0,0,0,0,0.153846154,0,0
528,6f3ec95008dc483444d96efc7b10460c,0,0,0,0,0.153846154,0,0
530,71c1c3555f8df9d1faf53c684c60fec5,0,0,0,0,0.153846154,0,0
532,72efbca6dd8e32fbf73ffddf9d548ee2,0,0,0,0,0.153846154,0,0
533,749b066735ced51568cbadd058be1b3f,0,0,0,0,0.153846154,0,0
534,754580d1fb8f400873360a969d6da699,0,0,0,0,0.153846154,0,0
535,763f0278d0fc61d9a875f87be695e13d,0,0,0,0,0.153846154,0,0
140,c4fcebd7f1b8e5722cca8c903b54cd6b,0.5,0,0.010121879,0,0,2,1
536,77ef07e45ca2491fbf9744c805ec36e2,0,0,0,0,0.153846154,0,0
537,7804506de61538c85df1f40b85ee7ac8,0,0,0,0,0.153846154,0,0
538,80d45b635f791f16b015cce9f7cfd0a8,0,0,0,0,0.153846154,0,0
539,816e451ab9dffe5292b1bb10e0043202,0,0,0,0,0.153846154,0,0
540,8183a833c64534e3b2d6405d711d3123,0,0,0,0,0.153846154,0,0
541,81c0160b1f5c8f2ed27b7a9be64827e2,0,0,0,0,0.153846154,0,0
542,84344b238c5ee6cda2f58a19530ddcf0,0,0,0,0,0.153846154,0,0
543,858266bbb9589836f3785c215f6f832d,0,0,0,0,0.153846154,0,0
544,85d34181f116d2a2d0c5e7daec37fe46,0,0,0,0,0.153846154,0,0
545,87023ba6ba626fe1937cb2b51c6c754b,0,0,0,0,0.153846154,0,0
546,87aa22427a68ccf737ae919f506d0bfd,0,0,0,0,0.153846154,0,0
547,87f7650ec23dc5be3b4b522210671489,0,0,0,0,0.153846154,0,0
548,88c9347385ca7627cf5c57dcac25be69,0,0,0,0,0.153846154,0,0
549,89985e29422c3ddc98038825fabc4966,0,0,0,0,0.153846154,0,0
550,89a67aeec904ee79f7a08f4541a1e2a5,0,0,0,0,0.153846154,0,0
156,644e60b432b1e93592f2dd19e231af10,0.75,0,0.003942076,0,0,3,2
551,8a1b18aa710afdb5ab46e3a69ff0cc3f,0,0,0,0,0.153846154,0,0
552,8c0a1e608cace4633107e0564bacde0a,0,0,0,0,0.153846154,0,0
553,8c7ee6ef249d59530fd73b8044bd69ba,0,0,0,0,0.153846154,0,0
554,8cdcaccf93423913df3f4b21684b0a48,0,0,0,0,0.153846154,0,0
555,8ec250cc05e48244c9f5e00ba743d425,0,0,0,0,0.153846154,0,0
556,8efb194fad9e93b11fa5be2bd25c2028,0,0,0,0,0.153846154,0,0
557,8fdbacd1c83094315cb2edf7039f31cc,0,0,0,0,0.153846154,0,0
558,921a8cd9a5154c8bf64df10260da498b,0,0,0,0,0.153846154,0,0
559,927113d73d16c9eae86309c741f1ec6f,0,0,0,0,0.153846154,0,0
560,938e8b69b41aa548e16f46f1f9926e1f,0,0,0,0,0.153846154,0,0
561,93a6f1440ce1e06206f50df3b71de497,0,0,0,0,0.153846154,0,0
562,93e3496e2d7b4835d75d5fc8f2d51fe2,0,0,0,0,0.153846154,0,0
169,e98470f8d1589aaab4e88f5abac89a2f,0.5,0,0.002563731,0,0,2,1
170,12afb352fdd5af24535016dedc023a04,0.5,0,0.002475931,0,0,2,1
563,948ca1dbf8b5867a095084b7c5d7894a,0,0,0,0,0.153846154,0,0
172,da881e6286935c55d4bb1ec2c8c8b85f,0.5,0,0.002111006,0,0,2,1
564,948fc74ec1f00122340fc253ef9ec5cd,0,0,0,0,0.153846154,0,0
565,958fd00399f0b3533d9cfa992279b4af,0,0,0,0,0.153846154,0,0
566,95aefae53a060eeac46557a1066baec0,0,0,0,0,0.153846154,0,0
567,9670c602b50257f8352742103b8da440,0,0,0,0,0.153846154,0,0
568,980aa017ad23e1fbe1c13a5403e9ffda,0,0,0,0,0.153846154,0,0
569,999b75fd8f688de4b9d9c2c14b298b81,0,0,0,0,0.153846154,0,0
570,9eea7d0f037f61ade705b0d13d9c7e47,0,0,0,0,0.153846154,0,0
571,9f465edbaeeeb53b780e8cdc44dc84f3,0,0,0,0,0.153846154,0,0
572,9f8689b02cbad2b5fadc9b91fa08b9f5,0,0,0,0,0.153846154,0,0
573,9ffc6a487c3a2474aa80bcb82e3aefb0,0,0,0,0,0.153846154,0,0
574,a0830aa694576d878af6f047e7d019da,0,0,0,0,0.153846154,0,0
575,a08381738ad8dcfc12e550a546077559,0,0,0,0,0.153846154,0,0
576,a266c63f6f54e3783eb3cf75837e6c47,0,0,0,0,0.153846154,0,0
577,a3a0a0897dd9238664bd9632974f1210,0,0,0,0,0.153846154,0,0
578,a4de4d1f3c3f2d5ebd49b143c1c2e65e,0,0,0,0,0.153846154,0,0
579,a50192ddbd8f63e83f9b0f149832e005,0,0,0,0,0.153846154,0,0
580,a6ab41d4af8e3383a8828cbfac776a7f,0,0,0,0,0.153846154,0,0
581,a6c93cc5fe278ffb013320f216262353,0,0,0,0,0.153846154,0,0
582,a9763cafe0596a7a347662d5afe6f919,0,0,0,0,0.153846154,0,0
583,ab7d23b6dbed28416c0ea7ac2b0e5725,0,0,0,0,0.153846154,0,0
584,ad48be6d116753cb71d51f2412022dbc,0,0,0,0,0.153846154,0,0
585,ad7a441e250b28d9111d89b93d1d51df,0,0,0,0,0.153846154,0,0
195,213bf1e8e1f17612663b2de8dbf19e16,0.25,0.166666667,0.001201107,0,0,1,1
196,30f165cf663903c277a9753e02f73ae5,0.25,0,0.001095789,0,0,1,1
586,aec43561f0083eed682d6acf038403c4,0,0,0,0,0.153846154,0,0
587,aee75c1ad52ee1b9d7dd50ceca051954,0,0,0,0,0.153846154,0,0
588,af02e5f8cee255bcfb71389c9dc10eea,0,0,0,0,0.153846154,0,0
589,af236c4f550e0786dda31200d19c43be,0,0,0,0,0.153846154,0,0
201,bdf09f01725be1c1600774f5b430fa00,0.25,0,0.001021514,0,0,1,1
202,38930934fc47e78f9ace9d4770df4ae6,0.25,0,0.001004691,0,0,1,1
203,b3bd30c217570539b4dfb1fd60235973,0.25,0,0.000981109,0,0,1,1
590,af5db60dcec4f78c801368afa187b847,0,0,0,0,0.153846154,0,0
205,6506f047e035ecfc042182945c01de53,0.5,0,0.000931843,0,0,2,1
591,b1c3ad0a7c1ac0c0b3c3aa288cf2c509,0,0,0,0,0.153846154,0,0
592,b2c454c51e6b797947230a45a912fbad,0,0,0,0,0.153846154,0,0
593,b3904b8fdf75b75538b751c84126b920,0,0,0,0,0.153846154,0,0
594,b3d9ff3a78ff577705c247ca8e142a59,0,0,0,0,0.153846154,0,0
595,b6d90f2dbf3d9c14e59b2989dc998f66,0,0,0,0,0.153846154,0,0
596,b73b6c3f6e6a7a28e55e1d87272f05e4,0,0,0,0,0.153846154,0,0
212,d130f2853baa8bc9a791b35b47fef661,0.5,0,0.000827417,0,0,2,1
597,b85327f8e85b984dae9ccf6e57cba556,0,0,0,0,0.153846154,0,0
598,ba0d95e1ca3a272dd99d2f52aae869c3,0,0,0,0,0.153846154,0,0
599,bb420424e9fdeb32f904c9a4492292f7,0,0,0,0,0.153846154,0,0
216,2bd482461b9eb37b2fd542525e156ef9,0.5,0,0.000740754,0,0,2,1
600,bc051176d08cdc8028d70e0cefb2a692,0,0,0,0,0.153846154,0,0
601,bca408a915a9dc3e36d5ab000046d6b7,0,0,0,0,0.153846154,0,0
602,bd768b33fab3eec4636cb1d81ffafda7,0,0,0,0,0.153846154,0,0
603,bd90f3791a70c4844304a4ec24a8c116,0,0,0,0,0.153846154,0,0
221,f929e3c24a9b3dc5732115f6c16a88f1,1,0,0.000664804,0,0,4,2
604,bdae90c3cb0232c1aedaaa1af84962c3,0,0,0,0,0.153846154,0,0
605,c02f1e8dc239221cbdb1ecc5e7e7c307,0,0,0,0,0.153846154,0,0
606,c1d324d5f05c3e2feafe564736721bb2,0,0,0,0,0.153846154,0,0
607,c1e8ceea8def1ce8639ba87e624ba9dc,0,0,0,0,0.153846154,0,0
608,c22129c9130dab36ac3d3a050aaf0160,0,0,0,0,0.153846154,0,0
609,c2f9bb32ca0592abc6018db2a0012512,0,0,0,0,0.153846154,0,0
610,c3cc9d9e5f5afd117b9ef7a43819a79e,0,0,0,0,0.153846154,0,0
229,a697794a1e8dc959840178f88b1b31ec,0.5,0,0.000479159,0,0,2,1
611,c6ed3919e19fc407f8660024b2da82b3,0,0,0,0,0.153846154,0,0
612,ccd8ed31660b3ec20a1a487404257dc1,0,0,0,0,0.153846154,0,0
614,cfd85e03e154dab2b86911f77e7c82bc,0,0,0,0,0.153846154,0,0
615,cfef9a1ee68c4e9689f1b306f775d019,0,0,0,0,0.153846154,0,0
616,d3336cbb77d2341c4ee59f1e00a50122,0,0,0,0,0.153846154,0,0
617,d33c0bc5833e734957fb43d044f676ad,0,0,0,0,0.153846154,0,0
618,d4a913335a8ed9b71a98015788145dd7,0,0,0,0,0.153846154,0,0
619,d5cfc7c496f550ddbcef72cbef7ab74f,0,0,0,0,0.153846154,0,0
620,d6d85f25e632619b3592075753f7993e,0,0,0,0,0.153846154,0,0
239,4ac7671ea8b7db17d2470cdb3261929e,0.5,0,0.000378955,0,0,2,1
621,d7a53be04656e8aca9751afa7c43e7cf,0,0,0,0,0.153846154,0,0
622,d7c4c2e2d71cd5ee6d02b8e1f7863cfd,0,0,0,0,0.153846154,0,0
623,d805f817abe6b2479875e7fdfe3eb1e1,0,0,0,0,0.153846154,0,0
624,d9280ab1088d52a2854226f4b2d241ef,0,0,0,0,0.153846154,0,0
625,d9589c7fa72badb00ae1d3f655dfe78a,0,0,0,0,0.153846154,0,0
626,da1d44c07e31c0e6879cd7565770a4f1,0,0,0,0,0.153846154,0,0
627,dd1ed5f6e50e90b0258636d28ba28d40,0,0,0,0,0.153846154,0,0
247,ba44d60e0fb63ba18b5787ffeeab7581,0.5,0,0.00033058,0,0,2,1
628,df4b06ee2d1407868f99ca4259f4aa71,0,0,0,0,0.153846154,0,0
629,e0da13a91d9de5a057db4a6fb5c93856,0,0,0,0,0.153846154,0,0
630,e19441c6b892f79580e854e616847d28,0,0,0,0,0.153846154,0,0
631,e21ae65caeb933d0aad3dfff323e17d4,0,0,0,0,0.153846154,0,0
632,e2a7428a6242ab03a2fdb31025cd67b0,0,0,0,0,0.153846154,0,0
633,e2f8dd69ad175d027f6492767e3e3793,0,0,0,0,0.153846154,0,0
634,e3a985badd734b981a730bce3b795bd3,0,0,0,0,0.153846154,0,0
635,e468201d25339cf6da46a55cf52d6f08,0,0,0,0,0.153846154,0,0
636,e65aa5927fa59e8cbe4af54955d7c1fb,0,0,0,0,0.153846154,0,0
637,e6ae065efbf0b9d33399516f14953783,0,0,0,0,0.153846154,0,0
639,ece3968498599a937906f87db02cd49f,0,0,0,0,0.153846154,0,0
640,ed0e8bbb64b214cc0f396c1647682be3,0,0,0,0,0.153846154,0,0
641,ee01c96cc664f64fa59955b269d82833,0,0,0,0,0.153846154,0,0
642,eebe154913b59e0e18e637847e0240b5,0,0,0,0,0.153846154,0,0
643,efab30d63ad0ab9c02f0521219519628,0,0,0,0,0.153846154,0,0
644,f1d589e59771f8ea38a9d0edc30c2d5e,0,0,0,0,0.153846154,0,0
645,f20c814e5883d81aacb18594c5448042,0,0,0,0,0.153846154,0,0
646,f24512a44c22d8e94f9e17f82b1ab5a6,0,0,0,0,0.153846154,0,0
649,fa8d134c8946a36f82cd8a2b57cda8f6,0,0,0,0,0.153846154,0,0
650,fbea9e8b811c7b91771cf069a8d72d13,0,0,0,0,0.153846154,0,0
651,fc69e5c9d01a0cf84276384f6a4c26f1,0,0,0,0,0.153846154,0,0
652,fcd01ab8bbe46f15a0cc09d2020c9279,0,0,0,0,0.153846154,0,0
653,fcd9fda36aad1038ca9a09659a412020,0,0,0,0,0.153846154,0,0
654,fe0d9a731074f21d0f856f9077ec6026,0,0,0,0,0.153846154,0,0
38,7d34e4dcd8b50467b8ecaf395c2080eb,0,0,0,0.0032,0.076923077,0,0
655,0049e1e3bc94370a676346608eaa49a6,0,0,0,0,0.076923077,0,0
656,004f31d48ffc3bfac6ca283be74ecfcb,0,0,0,0,0.076923077,0,0
657,00b4e838686e186152c971127cec6a7c,0,0,0,0,0.076923077,0,0
658,00b751dc3b694755c35e109fa69d5b61,0,0,0,0,0.076923077,0,0
659,00fe5ff0f52f92a6be73d8d69501764a,0,0,0,0,0.076923077,0,0
660,01293f569b1982f582acd24f4ad8c494,0,0,0,0,0.076923077,0,0
661,0152c88dfdcf0c46aa458c3cffb3e631,0,0,0,0,0.076923077,0,0
662,01b0801d4e407e66bbba7c229b24f262,0,0,0,0,0.076923077,0,0
663,02443fab13303320ee2d6b5561b123ae,0,0,0,0,0.076923077,0,0
665,02a1ec66f1bb1678e73d14fad3e074b8,0,0,0,0,0.076923077,0,0
666,02f6288dcfa8deff5b7e6842796c87c8,0,0,0,0,0.076923077,0,0
667,032088567d30d4c67e8832fe939c91c3,0,0,0,0,0.076923077,0,0
668,0332c756b4f6c076bc527dc22e652df5,0,0,0,0,0.076923077,0,0
669,03b59ce237cd6a88eadedbfdb8ebdaf0,0,0,0,0,0.076923077,0,0
670,041254aaf67cedf8a2f7e05e9407e6c4,0,0,0,0,0.076923077,0,0
671,0412d8a983f7d6a4f74102aefdada2d2,0,0,0,0,0.076923077,0,0
672,042c28228524b6a18009ca9e3fbb6f89,0,0,0,0,0.076923077,0,0
673,051c68e67f36046e12a588a4542a6d01,0,0,0,0,0.076923077,0,0
674,052496c0030538c86148d609b5033f77,0,0,0,0,0.076923077,0,0
292,6c05e89fba96a5361a62233f26a7f385,0.75,0,0.000105026,0,0,3,2
675,05bf553a5c72baddebecd9248658a6d9,0,0,0,0,0.076923077,0,0
676,05e97324910a1b87182303bbc268e0d3,0,0,0,0,0.076923077,0,0
677,06e0e9f56ffbe659e7c14d2f82a937ea,0,0,0,0,0.076923077,0,0
678,078b2f7390a83def066c42ac5f15e379,0,0,0,0,0.076923077,0,0
679,07b6659504abfd5a6aa2df6f6a8b56c9,0,0,0,0,0.076923077,0,0
680,07de55b4fdf2ecaff6a446cc8353570b,0,0,0,0,0.076923077,0,0
681,07fff610349259e84feb5a58106df335,0,0,0,0,0.076923077,0,0
682,082ad47a89ad5d2a8528a0a87e0c5bf4,0,0,0,0,0.076923077,0,0
683,08ea8d801f2640ae04c66354587ea1e6,0,0,0,0,0.076923077,0,0
684,0912d0f506596fecbaf9a62e843492f6,0,0,0,0,0.076923077,0,0
685,092edb06cb5c7f6d3f3c2311a2458d57,0,0,0,0,0.076923077,0,0
686,09ceed600312f5f34a78eb58927d5990,0,0,0,0,0.076923077,0,0
687,0a099289a1c037bb0adae2cc556e2e84,0,0,0,0,0.076923077,0,0
689,0a76ff969cf21b639d42215f0f4d0193,0,0,0,0,0.076923077,0,0
690,0a993a3fe69090d6db470a2bff11e52d,0,0,0,0,0.076923077,0,0
691,0accca32a20fc878c325bcc7c33b57fc,0,0,0,0,0.076923077,0,0
692,0b0530638a975ce25ee63c7e1c17dd82,0,0,0,0,0.076923077,0,0
693,0b70963a8298fe606038425839e79b59,0,0,0,0,0.076923077,0,0
694,0c240526f320468907fed94b8f464457,0,0,0,0,0.076923077,0,0
695,0cffebe1d2e4901a09713a50cf2c07bb,0,0,0,0,0.076923077,0,0
696,0d4f01487c1f68052c2d351757bd2b83,0,0,0,0,0.076923077,0,0
697,0d5c551b2f0515be917ae26bbe7eefa5,0,0,0,0,0.076923077,0,0
315,f96ba5c6dddfc144771c914b30c702de,0.25,0,5.79E-05,0,0,1,1
698,0d63475fc31b06ec8aea923804a70ed2,0,0,0,0,0.076923077,0,0
699,0d76d9e04920b230d396dd4d996bb336,0,0,0,0,0.076923077,0,0
700,0d89f1af2227598d615c705eb87531f2,0,0,0,0,0.076923077,0,0
701,0ddebd96b51c9a2a9a53e4e5ab7bf0c4,0,0,0,0,0.076923077,0,0
702,0e7aa7ef55603016e996a0c4b2df18cc,0,0,0,0,0.076923077,0,0
703,0e8f16163f976a8c90c245747bf81613,0,0,0,0,0.076923077,0,0
705,0ef3327926c2cbe155439448dcb482f6,0,0,0,0,0.076923077,0,0
706,0f0fa5c552453b6965cc78cab6e35b21,0,0,0,0,0.076923077,0,0
707,0f1b52207d5ef5b5ae6228539616992c,0,0,0,0,0.076923077,0,0
708,0f292a64bd7ffad53aad89f2a64816e9,0,0,0,0,0.076923077,0,0
710,0f74930ba96ecab0923e218410751cfd,0,0,0,0,0.076923077,0,0
327,b4f915bc0d95fbbfa2a27b27d6ba319c,0.25,0,4.69E-05,0,0,1,1
